Iterazione,Tempo,,Iterazione,Tempo,,Iterazione,Tempo,,Iterazione,Tempo,,Iterazione,Tempo
1,0.38,,1,0.46,,1,0.41,,1,0.3,,1,0.39
2,0.07,,2,0.1,,2,0.07,,2,0.07,,2,0.09
3,0.1,,3,0.09,,3,0.06,,3,0.06,,3,0.05
4,0.09,,4,0.11,,4,0.05,,4,0.05,,4,0.05
5,0.05,,5,0.06,,5,0.05,,5,0.05,,5,0.05
6,0.04,,6,0.07,,6,0.04,,6,0.05,,6,0.05
7,0.04,,7,0.05,,7,0.04,,7,0.05,,7,0.04
8,0.04,,8,0.05,,8,0.04,,8,0.05,,8,0.06
9,0.04,,9,0.04,,9,0.04,,9,0.08,,9,0.04
10,0.04,,10,0.04,,10,0.1,,10,0.07,,10,0.04
11,0.04,,11,0.04,,11,0.07,,11,0.05,,11,0.05
12,0.04,,12,0.05,,12,0.07,,12,0.05,,12,0.04
13,0.04,,13,0.04,,13,0.05,,13,0.05,,13,0.04
14,0.04,,14,0.04,,14,0.04,,14,0.05,,14,0.04
15,0.04,,15,0.05,,15,0.05,,15,0.05,,15,0.04
16,0.04,,16,0.07,,16,0.05,,16,0.05,,16,0.04
17,0.04,,17,0.07,,17,0.05,,17,0.05,,17,0.04
18,0.05,,18,0.06,,18,0.05,,18,0.05,,18,0.04
19,0.08,,19,0.07,,19,0.05,,19,0.05,,19,0.04
20,0.05,,20,0.06,,20,0.05,,20,0.05,,20,0.04
21,0.05,,21,0.06,,21,0.05,,21,0.05,,21,0.04
22,0.05,,22,0.05,,22,0.05,,22,0.05,,22,0.04
23,0.05,,23,0.04,,23,0.05,,23,0.05,,23,0.04
24,0.05,,24,0.04,,24,0.07,,24,0.05,,24,0.04
25,0.05,,25,0.04,,25,0.05,,25,0.07,,25,0.04
26,0.05,,26,0.05,,26,0.04,,26,0.05,,26,0.04
27,0.05,,27,0.04,,27,0.05,,27,0.05,,27,0.04
28,0.05,,28,0.04,,28,0.06,,28,0.05,,28,0.04
29,0.05,,29,0.04,,29,0.06,,29,0.05,,29,0.06
30,0.05,,30,0.04,,30,0.04,,30,0.09,,30,0.06
31,0.05,,31,0.04,,31,0.04,,31,0.08,,31,0.07
,,,,,,,,,,,,,
,Q1,,,Q2,,,Q3,,,Q4,,,Q5
